Category	Type	Alias	Name	Args	Args Transform	Description	Link
File	Modify	ch_dir	chdir	path		Changes the current working directory of the calling process to the given directory.	https://man7.org/linux/man-pages/man2/chdir.2.html
File	Modify	ch_dir	fchdir	path		Changes the current working directory of the calling process to the given directory.	https://man7.org/linux/man-pages/man2/fchdir.2.html
File	Modify	ch_mod	chmod	path;mod		Changes permissions of the given file.	https://man7.org/linux/man-pages/man2/chmod.2.html
File	Modify	ch_mod	fchmod	path;mod		Changes permissions of the given file.	https://man7.org/linux/man-pages/man2/fchmod.2.html
File	Modify	ch_mod	fchmodat	path;mod	"JoinPaths(0, 1);Arg(2)"	Changes permissions of the given file.	https://man7.org/linux/man-pages/man2/fchmodat.2.html
File	Modify	ch_own	chown	path;owner;group		Changes the owner and group of the given file.	https://man7.org/linux/man-pages/man2/chown.2.html
File	Modify	ch_own	fchown	path;owner;group		Changes the owner and group of the given file.	https://man7.org/linux/man-pages/man2/fchown.2.html
File	Modify	ch_own	lchown	path;owner;group		Changes the owner and group of the given file.	https://man7.org/linux/man-pages/man2/lchown.2.html
File	Modify	ch_own	fchownat	path;owner;group	"JoinPaths(0, 1);Arg(2);Arg(3)"	Changes the owner and group of the given file.	https://man7.org/linux/man-pages/man2/fchownat.2.html
File	Create	open	open	path		Opens the given file.	https://man7.org/linux/man-pages/man2/open.2.html
File	Create	open	openat	path	"JoinPaths(0, 1)"	Opens the given file.	https://man7.org/linux/man-pages/man2/openat.2.html
File	Create	open	openat2	path	"JoinPaths(0, 1)"	Opens the given file.	https://man7.org/linux/man-pages/man2/openat2.2.html
File	Create	create	creat	path		Opens and possibly creates the given file.	https://man7.org/linux/man-pages/man2/creat.2.html
File	Modify	close	close	path		Closes the given file.	https://man7.org/linux/man-pages/man2/close.2.html
File	Modify	copy_file_range	copy_file_range	source;target	Arg(0);Arg(2)	Copies a range of data from one file to another.	https://man7.org/linux/man-pages/man2/copy_file_range.2.html
File	Modify	send_file	sendfile	source;target		Copies a range of data from one file to another.	https://man7.org/linux/man-pages/man2/sendfile.2.html
File	Modify	f_lock	flock	file;op		Applies or removes an advisory lock on an open file.	https://man7.org/linux/man-pages/man2/flock.2.html
File	Read	get_x_attr	getxattr	file;attr		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/getxattr.2.html
File	Read	get_x_attr	lgetxattr	file;attr		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/lgetxattr.2.html
File	Read	get_x_attr	fgetxattr	file;attr		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/fgetxattr.2.html
File	Read	list_x_attr	listxattr	file		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/listxattr.2.html
File	Read	list_x_attr	llistxattr	file		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/llistxattr.2.html
File	Read	list_x_attr	flistxattr	file		Gets the list of extended attribute names associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/flistxattr.2.html
File	Modify	set_x_attr	setxattr	file;attr		Sets the value of the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/setxattr.2.html
File	Modify	set_x_attr	lsetxattr	file;attr		Sets the value of the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/lsetxattr.2.html
File	Modify	set_x_attr	fsetxattr	file;attr		Sets the value of the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/fsetxattr .2.html
File	Modify	remove_x_attr	removexattr	file;attr		Removes the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/removexattr.2.html
File	Modify	remove_x_attr	lremovexattr	file;attr		Removes the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/lremovexattr.2.html
File	Modify	remove_x_attr	fremovexattr	file;attr		Removes the extended attribute identified by name and associated with the given path in the filesystem.	https://man7.org/linux/man-pages/man2/fremovexattr.2.html
File	Modify	truncate	truncate	file		Truncates the given file.	https://man7.org/linux/man-pages/man2/truncate.2.html
File	Modify	truncate	ftruncate	file		Truncates the given file.	https://man7.org/linux/man-pages/man2/ftruncate.2.html
File	Modify	utime	futimesat	file	"JoinPaths(0, 1)"	Updates the timestamps of a file with nanosecond precision.	https://man7.org/linux/man-pages/man2/futimesat.2.html
File	Modify	utime	utimensat	file	"JoinPaths(0, 1)"	Updates the timestamps of a file with nanosecond precision.	https://man7.org/linux/man-pages/man2/utimensat.2.html
File	Modify	utime	futimens	file		Updates the timestamps of a file with nanosecond precision.	https://man7.org/linux/man-pages/man2/utimensat.2.html
File	Modify	utime	utime	file		Changes the file last access and modification times.	https://man7.org/linux/man-pages/man2/utime.2.html
File	Modify	utime	utimes	file		Changes the file last access and modification times.	https://man7.org/linux/man-pages/man2/utimes.2.html
File	Read	getcwd	getcwd			Gets an absolute pathname of the current working directory.	https://man7.org/linux/man-pages/man2/getcwd.2.html
File	Read	get_dir_entries	getdents	dir		Gets the directory entries.	https://man7.org/linux/man-pages/man2/getdents.2.html
File	Read	get_dir_entries	getdents64	dir		Gets the directory entries.	https://man7.org/linux/man-pages/man2/getdents64.2.html
File	Modify	i_notify_add_watch	inotify_add_watch	path	Arg(1)	"Adds a new watch, or modifies an existing watch, for the given file."	https://man7.org/linux/man-pages/man2/inotify_add_watch.2.html
File	Modify	io_ctl	ioctl	path;op		Manipulates the given file by using specified operation.	https://man7.org/linux/man-pages/man2/ioctl.2.html
File	Create	sym_link	symlink	path;alias		Creates a symbolic link to the given file or directory.	https://man7.org/linux/man-pages/man2/symlink.2.html
File	Create	sym_link	symlinkat	path;alias	"Arg(0);JoinPaths(1, 2)"	Creates a symbolic link to the given file or directory.	https://man7.org/linux/man-pages/man2/symlinkat.2.html
File	Read	read_link	readlink	alias		Gets the value of the given symbolic link.	https://man7.org/linux/man-pages/man2/readlink.2.html
File	Read	read_link	readlinkat	alias	"JoinPaths(0, 1)"	Gets the value of the given symbolic link.	https://man7.org/linux/man-pages/man2/readlinkat.2.html
File	Create	link	link	path;alias		Creates a new link (also known as a hard link) to the given file or directory.	https://man7.org/linux/man-pages/man2/link.2.html
File	Create	link	linkat	path;alias	"JoinPaths(0, 1);JoinPaths(2, 3)"	Creates a new link (also known as a hard link) to the given file or directory.	https://man7.org/linux/man-pages/man2/linkat.2.html
File	Delete	un_link	unlink	alias		Deletes a name from the filesystem.	https://man7.org/linux/man-pages/man2/unlink.2.html
File	Delete	un_linkat	unlinkat	alias	"JoinPaths(0, 1)"	Deletes a name from the filesystem.	https://man7.org/linux/man-pages/man2/unlinkat.2.html
File	Modify	rename	rename	source;target		"Renames a file, moving it between directories if required."	https://man7.org/linux/man-pages/man2/rename.2.html
File	Modify	rename	renameat	source;target	"JoinPaths(0, 1);JoinPaths(2, 3)"	"Renames a file, moving it between directories if required."	https://man7.org/linux/man-pages/man2/renameat.2.html
File	Modify	rename	renameat2	source;target	"JoinPaths(0, 1);JoinPaths(2, 3)"	"Renames a file, moving it between directories if required."	https://man7.org/linux/man-pages/man2/renameat2.2.html
File	Create	mk_dir	mkdir	path		Creates the given directory.	https://man7.org/linux/man-pages/man2/mkdir.2.html
File	Create	mk_dir	mkdirat	path	"JoinPaths(0, 1)"	Creates the given directory.	https://man7.org/linux/man-pages/man2/mkdirat.2.html
File	Delete	rm_dir	rmdir	path		"Deletes a directory, which must be empty."	https://man7.org/linux/man-pages/man2/rmdir.2.html
File	Create	mk_nod	mknod	path		"Creates a filesystem node (file, device special file, or named pipe) by the given path."	https://man7.org/linux/man-pages/man2/mknod.2.html
File	Create	mk_nod	mknodat	path	"JoinPaths(0, 1)"	"Creates a filesystem node (file, device special file, or named pipe) by the given path."	https://man7.org/linux/man-pages/man2/mknodat.2.html
File	Modify	m_map	mmap	path	Arg(4)	Creates a new mapping in the virtual address space of the calling process.	https://man7.org/linux/man-pages/man2/mmap.2.html
